persona_id,source,psid_index,latent_ability,group,name,email,trait_Age,trait_Sex,trait_Education,trait_Class of Worker,trait_Marital Status,trait_Place of Birth,trait_Big Five Scores 1,trait_Big Five Scores 2,trait_Defining Quirks,trait_Personal Time,trait_Lifestyle,trait_Political Views,trait_Fertility,trait_Income Bracket,trait_Housing Situation,trait_Relationship with Technology,trait_Hobbies,trait_Communication Style,trait_Risk Tolerance,trait_Travel Frequency,trait_Pet Ownership,trait_Prior Occupation,trait_Industry
170,psid,26,-0.3675661345102515,,,,40,Male,Bachelor's Degree,Private,Married,California,High agreeableness,High agreeableness,Very social,Reading,Active,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Hiking,Humorous,Risk-averse,Occasional traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
171,psid,52,-1.0144502332633794,,,,26,Female,Bachelor's Degree,Private,Married,Canada,High agreeableness,High neuroticism,Loves puzzles,Traveling,Active,Libertarian,Has children,Middle income,Rents,Tech-savvy,Hiking,Humorous,Risk-averse,Rare traveler,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
172,psid,8,-1.3411919107078893,,,,42,Male,Bachelor's Degree,Self-Employed,Married,California,High agreeableness,High conscientiousness,Introverted,Reading,Workaholic,Independent,Does not have children,Middle income,Rents,Tech-savvy,Photography,Diplomatic,Moderate risk-taker,Rare traveler,No pets,Management analysts,"Professional, Scientific, and Technical Services"
173,psid,7,0.14835259936830547,,,,40,Male,Master's Degree,Private,Divorced,Pennsylvania,High openness,High neuroticism,Introverted,Cooking,Balanced,Libertarian,Does not have children,Middle income,Rents,Tech-savvy,Gardening,Humorous,Risk-averse,Occasional traveler,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
174,psid,81,1.1127233075194918,,,,37,Female,Bachelor's Degree,Private,Single,Florida,High conscientiousness,High extraversion,Very social,Cooking,Sedentary,Republican,Undecided,Middle income,Owns home,Tech-savvy,Crafting,Diplomatic,Risk-averse,Frequent traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
175,psid,23,-0.4240381040666847,,,,39,Male,Bachelor's Degree,Private,Married,New York,High conscientiousness,High neuroticism,Very social,Gaming,Sedentary,Republican,Undecided,Middle income,Rents,Tech-savvy,Gardening,Direct,Moderate risk-taker,Occasional traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
176,psid,41,1.0737374002485498,,,,33,Male,Master's Degree,Self-Employed,Married,Florida,High extraversion,High conscientiousness,Always punctual,Reading,Sedentary,Libertarian,Undecided,Middle income,Owns home,Tech-savvy,Gardening,Reserved,High risk-taker,Never travels,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
177,psid,25,-1.3040184047787973,,,,39,Male,Bachelor's Degree,Private,Single,New Jersey,High agreeableness,High extraversion,Loves puzzles,Playing sports,Laid-back,Democrat,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Diplomatic,Moderate risk-taker,Never travels,Owns a dog,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
178,psid,81,-0.2549544205297614,,,,37,Female,Bachelor's Degree,Public,Divorced,Canada,High extraversion,High agreeableness,Introverted,Gaming,Active,Independent,Does not have children,Middle income,Rents,Tech-savvy,Photography,Direct,Moderate risk-taker,Rare traveler,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
179,psid,23,-0.18359087786948164,,,,39,Male,Bachelor's Degree,Public,Divorced,New York,High agreeableness,High agreeableness,Introverted,Traveling,Workaholic,Independent,Has children,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,High risk-taker,Never travels,No pets,Computer programmers,"Professional, Scientific, and Technical Services"
180,psid,28,0.1932216654294449,,,,40,Female,Master's Degree,Public,Single,Florida,High agreeableness,High neuroticism,Extremely organized,Playing sports,Laid-back,Republican,Planning to have children,Middle income,Rents,Tech-savvy,Hiking,Direct,Risk-averse,Occasional traveler,Owns a cat,Operations and systems researchers and analysts,"Professional, Scientific, and Technical Services"
181,psid,43,1.0945263886370211,,,,34,Male,Master's Degree,Public,Divorced,New Jersey,High conscientiousness,High agreeableness,Loves puzzles,Traveling,Sedentary,Independent,Has children,Middle income,Rents,Tech-savvy,Hiking,Direct,Risk-averse,Never travels,Owns a cat,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
182,psid,48,0.19905957366699947,,,,35,Male,Bachelor's Degree,Private,Divorced,Canada,High extraversion,High extraversion,Introverted,Cooking,Active,Green,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Open,Risk-averse,Never travels,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
183,psid,39,-0.16546508141103722,,,,37,Male,Master's Degree,Public,Divorced,New Jersey,High agreeableness,High conscientiousness,Introverted,Gaming,Sedentary,Libertarian,Undecided,Middle income,Rents,Tech-savvy,Crafting,Diplomatic,Risk-averse,Rare traveler,Owns a cat,Biological and life scientists,"Professional, Scientific, and Technical Services"
184,psid,82,0.8358302041572211,,,,43,Male,Master's Degree,Private,Divorced,New Jersey,High neuroticism,High openness,Extremely organized,Playing sports,Balanced,Green,Does not have children,Middle income,Owns home,Tech-savvy,Crafting,Reserved,Risk-averse,Never travels,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
185,psid,44,1.117889435197205,,,,29,Male,Bachelor's Degree,Self-Employed,Single,Pennsylvania,High openness,High conscientiousness,Extremely organized,Playing sports,Laid-back,Republican,Planning to have children,Middle income,Rents,Tech-savvy,Gardening,Direct,Moderate risk-taker,Rare traveler,Owns a dog,Computer programmers,"Professional, Scientific, and Technical Services"
186,psid,28,-1.9780142548578725,,,,40,Female,Master's Degree,Public,Married,New York,High agreeableness,High conscientiousness,Very social,Gaming,Active,Republican,Has children,Middle income,Owns home,Tech-savvy,Crafting,Open,Risk-averse,Rare traveler,No pets,Operations and systems researchers and analysts,"Professional, Scientific, and Technical Services"
187,psid,32,-0.9580962488255036,,,,31,Male,Bachelor's Degree,Private,Married,Florida,High neuroticism,High conscientiousness,Loves puzzles,Gaming,Laid-back,Democrat,Planning to have children,Middle income,Owns home,Tech-savvy,Crafting,Direct,High risk-taker,Rare traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
188,psid,55,-0.39582451410237923,,,,31,Male,Bachelor's Degree,Public,Married,Canada,High conscientiousness,High neuroticism,Loves puzzles,Playing sports,Sedentary,Libertarian,Planning to have children,Middle income,Owns home,Tech-savvy,Crafting,Reserved,Moderate risk-taker,Occasional traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
189,psid,66,-1.8486372221460068,,,,40,Male,Bachelor's Degree,Public,Single,Connecticut,High agreeableness,High agreeableness,Introverted,Playing sports,Balanced,Green,Has children,Middle income,Rents,Tech-savvy,Gardening,Reserved,Moderate risk-taker,Occasional traveler,Owns other pets,Management analysts,"Professional, Scientific, and Technical Services"
190,psid,52,0.9951862786288281,,,,26,Female,Bachelor's Degree,Private,Divorced,New York,High extraversion,High extraversion,Very social,Traveling,Active,Independent,Planning to have children,Middle income,Owns home,Tech-savvy,Playing musical instruments,Reserved,Risk-averse,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
191,psid,60,-0.5996425491709361,,,,26,Female,Bachelor's Degree,Public,Married,New Jersey,High neuroticism,High conscientiousness,Loves puzzles,Playing sports,Sedentary,Republican,Does not have children,Middle income,Owns home,Tech-savvy,Photography,Diplomatic,High risk-taker,Rare traveler,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
192,psid,11,1.6549247635535003,,,,38,Male,Master's Degree,Self-Employed,Divorced,Florida,High agreeableness,High agreeableness,Very social,Playing sports,Active,Democrat,Has children,Middle income,Owns home,Tech-savvy,Photography,Direct,Risk-averse,Never travels,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
193,psid,39,1.5967908811189202,,,,37,Male,Master's Degree,Private,Married,Florida,High extraversion,High agreeableness,Extremely organized,Gaming,Laid-back,Green,Does not have children,Middle income,Rents,Tech-savvy,Playing musical instruments,Direct,Moderate risk-taker,Rare traveler,Owns a dog,Biological and life scientists,"Professional, Scientific, and Technical Services"
194,psid,51,1.5630684870782567,,,,31,Male,Bachelor's Degree,Private,Divorced,Connecticut,High conscientiousness,High conscientiousness,Always punctual,Playing sports,Sedentary,Green,Does not have children,Middle income,Rents,Tech-savvy,Hiking,Humorous,High risk-taker,Occasional traveler,Owns a cat,Computer programmers,"Professional, Scientific, and Technical Services"
195,psid,25,0.7038507585392888,,,,39,Male,Bachelor's Degree,Private,Divorced,Connecticut,High agreeableness,High extraversion,Extremely organized,Playing sports,Workaholic,Democrat,Has children,Middle income,Rents,Tech-savvy,Photography,Direct,High risk-taker,Never travels,Owns other pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
196,psid,13,0.6243282122916335,,,,40,Female,Master's Degree,Private,Married,Connecticut,High conscientiousness,High extraversion,Extremely organized,Playing sports,Laid-back,Libertarian,Has children,Middle income,Owns home,Tech-savvy,Gardening,Diplomatic,High risk-taker,Frequent traveler,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
197,psid,43,0.18379511160424872,,,,34,Male,Master's Degree,Self-Employed,Divorced,New York,High openness,High extraversion,Extremely organized,Traveling,Sedentary,Republican,Does not have children,Middle income,Rents,Tech-savvy,Crafting,Humorous,High risk-taker,Occasional traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
198,psid,27,-0.8338999246785375,,,,31,Female,Bachelor's Degree,Private,Single,California,High conscientiousness,High conscientiousness,Introverted,Reading,Balanced,Libertarian,Undecided,Middle income,Owns home,Tech-savvy,Hiking,Open,High risk-taker,Rare traveler,No pets,Computer systems analysts and scientists,"Professional, Scientific, and Technical Services"
199,psid,67,0.47796294307591497,,,,33,Male,Bachelor's Degree,Public,Divorced,Connecticut,High openness,High agreeableness,Extremely organized,Playing sports,Laid-back,Green,Undecided,Middle income,Rents,Tech-savvy,Playing musical instruments,Humorous,Risk-averse,Never travels,Owns other pets,Computer programmers,"Professional, Scientific, and Technical Services"
